8.09	compareSeqToGenome(Genome&, char**, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, bool&)
7.23	ReadAlign::stitchPieces(char**, unsigned long long)
5.93	extendAlign(char*, char*, unsigned long long, unsigned long long, int, int, unsigned long long, unsigned long long, unsigned long long, unsigned long long, double, bool, Transcript*)
4.23	star_integrate::lookup(Parameters const&, Genome const&, char**, unsigned long, star_integrate::InnerCall const&, unsigned long*, unsigned long&, unsigned long&)
4.20	stitchWindowAligns(unsigned long long, unsigned long long, int, bool*, unsigned long long, unsigned long long, Transcript, unsigned long long, unsigned long long (*) [7], char*, Genome&, Parameters&, Transcript**, unsigned long long*, ReadAlign*)
4.09	star_integrate::prepare_window(ReadAlignChunk&)
3.92	ReadAlign::maxMappableLength2strands(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long&, unsigned long long)
3.88	ReadAlign::assignAlignToWindow(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, bool, unsigned long long)
3.66	__memcpy_sve
3.59	__memset_zva64
3.52	convertNucleotidesToNumbers(char const*, char*, unsigned long long)
2.94	Transcript::Transcript(Transcript const&)
2.77	stitchAlignToTranscript(unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, Parameters&, char*, Genome&, Transcript*, unsigned long long)
2.61	star_integrate::submit_window(std::vector<star_integrate::WindowRead, std::allocator<star_integrate::WindowRead> >&&)
2.44	0x0000000000007b6c
2.28	complementSeqNumbers(char*, char*, unsigned long long)
1.72	__arch_copy_from_user
1.12	Transcript::operator=(Transcript const&) [clone .isra.0]
0.86	revComplementNucleotides(char*, char*, unsigned long long)
0.80	sjAlignSplit(unsigned long long, unsigned long long, Genome const&, unsigned long long&, unsigned long long&, unsigned long long&, unsigned long long&, unsigned long long&)
0.78	__aarch64_cas4_acq
0.77	std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
0.71	binarySearch2(unsigned long long, unsigned long long, unsigned long long*, unsigned long long*, int)
0.69	star_integrate::(anonymous namespace)::coordinator_main()
0.65	malloc
0.61	0x0000000000007b68
0.60	std::istream::sentry::sentry(std::istream&, bool)
