task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ae/951dfb	1529034	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-09-05 02:06:36.811	7.2s	5.9s	95.7%	5.6 MB	11.2 MB	2.9 GB	11.9 KB
2	73/514e12	1529054	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (gencode.v49.primary_assembly.annotation.filtered)	COMPLETED	0	2026-09-05 02:06:36.816	18.3s	16.9s	81.7%	12.1 MB	15.1 MB	6 GB	3.1 GB
5	77/161c3a	1530829	NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED (gencode.v49.primary_assembly.annotation.filtered)	COMPLETED	0	2026-09-05 02:06:55.126	27s	26.5s	100.1%	7.9 GB	7.9 GB	3.1 GB	65.6 MB
4	8b/ca04bc	1530803	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-09-05 02:06:55.105	36.8s	35.7s	100.1%	3.3 GB	3.5 GB	7.7 GB	4.6 GB
3	42/e0973f	1529025	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12716_full)	COMPLETED	0	2026-09-05 02:06:36.804	2m 43s	2m 42s	100.1%	219.4 MB	222.7 MB	14.2 GB	1.7 KB
6	fc/edb4c4	1535248	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12716_full)	COMPLETED	0	2026-09-05 02:09:19.583	3m 22s	3m 21s	199.6%	3.7 GB	15.4 GB	9.5 GB	4.6 MB
7	42/c3f1a9	1535236	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12716_full)	COMPLETED	0	2026-09-05 02:09:19.574	5m 6s	5m 6s	203.1%	91.1 MB	747.2 MB	24.4 GB	14.8 GB
8	d6/b1df74	1541751	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12716_full)	COMPLETED	0	2026-09-05 02:14:25.571	2m 42s	2m 42s	100.1%	219.4 MB	222.7 MB	22.2 GB	1.7 KB
9	af/6867d3	1544286	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12716_full)	COMPLETED	0	2026-09-05 02:17:07.578	2m 8s	2m 7s	99.9%	16.5 MB	20 MB	22.2 GB	126.2 MB
10	86/2859c6	1546259	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12716_full)	COMPLETED	0	2026-09-05 02:19:15.161	23.7s	23.4s	252.4%	18.6 GB	22.2 GB	17.1 GB	2.1 MB
11	d4/03324a	1547253	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (NA12716_full)	COMPLETED	0	2026-09-05 02:19:38.939	15m 41s	15m 41s	745.9%	38.6 GB	40.4 GB	127.5 GB	113.7 GB
12	e1/083da2	1569781	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (NA12716_full)	COMPLETED	0	2026-09-05 02:35:19.880	2m 22s	2m 22s	498.9%	5.3 GB	6.6 GB	37.4 GB	32.6 GB
14	a6/50f714	1598455	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (NA12716_full)	COMPLETED	0	2026-09-05 02:37:42.395	20.7s	20.4s	268.2%	52.9 MB	282.8 MB	9 GB	4.4 MB
15	3d/07c256	1600366	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12716_full)	COMPLETED	0	2026-09-05 02:38:03.151	557ms	35ms	88.9%	3.2 MB	4.4 MB	4.5 MB	6.5 KB
17	f8/fcd3b4	1600337	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12716_full)	COMPLETED	0	2026-09-05 02:38:03.138	36.5s	36.1s	138.9%	6.8 MB	220.2 MB	9 GB	2.9 KB
16	d6/3e2ad8	1600349	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12716_full)	COMPLETED	0	2026-09-05 02:38:03.145	1m 37s	1m 37s	152.8%	8.6 MB	221.7 MB	9 GB	262.4 KB
13	39/70bd8c	1598432	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (NA12716_full)	COMPLETED	0	2026-09-05 02:37:42.382	8m 49s	8m 48s	864.9%	16.3 GB	17.3 GB	40.1 GB	28 MB
