# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=thread; pages=100% huge required; split=inner-only; evidence=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; sha256=695e8d65a28de0cc8f5eee8ab59a1db9f476838764ef9f2887c9e663d3ae0d81; counter overhead not corrected
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=62.584651 setup_s=63.636830 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xf3cbde200000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788730361, tv_nsec: 757631080 }, fallback: false }
# PROBE CPU pointer sa=0xf3cca0e00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788730359, tv_nsec: 643947100 }, fallback: true }
# PROBE CPU pointer reads=0xf3cb68600000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788730412, tv_nsec: 110612465 }, fallback: false }
# PROBE CPU pointer requests=0xf3cb6d200000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788730411, tv_nsec: 864676684 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
# PROBE warmup requests=64000 rounds=874 event_ms=1000.96295 elapsed_s=1.461107; checks included, every GPU output consumed
PROBE-isolated	64000	1	20	0.012123473	0.001213605	1.144256	0.001160453	0.000000000	5279015.345	52735445.223	9.989637	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	22.130144	0.000000	0.000000	0.000000
PROBE-isolated	64000	2	20	0.012353651	0.001264454	1.147296	0.001172725	0.000000000	5180654.691	50614731.734	9.769949	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	21.240198	0.000000	0.000000	0.000000
PROBE-isolated	64000	3	20	0.012670228	0.001266405	1.160160	0.001184149	0.000000000	5051211.391	50536755.619	10.004878	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	21.207475	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=32000 CPU_first_half_s=0.006144009 GPU_second_half_device_s=0.000614995 GPU_second_half_total_s=0.000671635 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	1	20	0.006779948	0.000607394	0.601056	0.000607394	0.007004381	4719800.211	52684089.734	11.162356	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	22.121119	9137138.599399	1.103506	0.987641
# PROBE overlap controls repeat=2 half=32000 CPU_first_half_s=0.006146409 GPU_second_half_device_s=0.000626099 GPU_second_half_total_s=0.000693939 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	2	20	0.006259882	0.000601939	0.595456	0.000601939	0.006356138	5111917.445	53161532.979	10.399529	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	22.321589	10069007.312302	1.018462	0.961412
# PROBE overlap controls repeat=3 half=32000 CPU_first_half_s=0.006453611 GPU_second_half_device_s=0.000626626 GPU_second_half_total_s=0.000710323 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	3	20	0.006298922	0.000600914	0.594208	0.000600914	0.006378459	5080234.364	53252212.463	10.482235	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	22.359664	10033771.479914	0.976031	0.958968
# PROBE warmup requests=256000 rounds=224 event_ms=1000.65533 elapsed_s=1.482620; checks included, every GPU output consumed
PROBE-isolated	256000	1	20	0.047016210	0.005110725	4.984992	0.005013236	0.000000000	5444930.589	50090740.551	9.199519	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	21.017929	0.000000	0.000000	0.000000
PROBE-isolated	256000	2	20	0.051043923	0.004602355	4.484896	0.004511795	0.000000000	5015288.500	55623696.999	11.090827	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	23.339541	0.000000	0.000000	0.000000
PROBE-isolated	256000	3	20	0.046714224	0.004581779	4.451584	0.004479730	0.000000000	5480129.564	55873493.680	10.195652	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	23.444355	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=128000 CPU_first_half_s=0.024081843 GPU_second_half_device_s=0.002292473 GPU_second_half_total_s=0.002379082 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
