# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=thread; pages=4K verified zero huge bytes; split=inner-only; evidence=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; sha256=695e8d65a28de0cc8f5eee8ab59a1db9f476838764ef9f2887c9e663d3ae0d81; same requests as successful huge round
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=56.357495 setup_s=57.441150 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xfd3ade000000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 0, kind: Small, observed_at: SystemTime { tv_sec: 1788730435, tv_nsec: 35199462 }, fallback: false }
# PROBE CPU pointer sa=0xfd3ba0c00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 0, kind: Small, observed_at: SystemTime { tv_sec: 1788730432, tv_nsec: 810864472 }, fallback: false }
# PROBE CPU pointer reads=0xfd3a68a00000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 0, kind: Small, observed_at: SystemTime { tv_sec: 1788730485, tv_nsec: 175357740 }, fallback: false }
# PROBE CPU pointer requests=0xfd3a6d400000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 0, kind: Small, observed_at: SystemTime { tv_sec: 1788730484, tv_nsec: 974069520 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
# PROBE warmup requests=64000 rounds=6 event_ms=1158.9763 elapsed_s=1.162323; checks included, every GPU output consumed
PROBE-isolated	64000	1	20	0.017226677	0.194638240	194.524902	0.194553664	0.000000000	3715168.050	328815.139	0.088506	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	0.137985	0.000000	0.000000	0.000000
PROBE-isolated	64000	2	20	0.016551763	0.192325479	192.202820	0.192232710	0.000000000	3866657.588	332769.222	0.086061	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	0.139645	0.000000	0.000000	0.000000
PROBE-isolated	64000	3	20	0.018544043	0.194113454	194.002914	0.194030158	0.000000000	3451243.076	329704.092	0.095532	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	0.138359	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=32000 CPU_first_half_s=0.009843224 GPU_second_half_device_s=0.090151212 GPU_second_half_total_s=0.090212204 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	1	20	0.010516843	0.091370608	91.358017	0.091370608	0.091412736	3042738.206	350222.032	0.115101	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	0.147052	700121.261002	1.068435	1.013526
# PROBE overlap controls repeat=2 half=32000 CPU_first_half_s=0.008655507 GPU_second_half_device_s=0.091491985 GPU_second_half_total_s=0.091586961 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	2	20	0.010031320	0.092081795	92.070015	0.092081795	0.092114499	3190008.892	347517.118	0.108939	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	0.145916	694787.473143	1.158952	1.006447
# PROBE overlap controls repeat=3 half=32000 CPU_first_half_s=0.009188501 GPU_second_half_device_s=0.091085087 GPU_second_half_total_s=0.091175184 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	3	20	0.009396678	0.092133923	92.125343	0.092133923	0.092160035	3405458.823	347320.498	0.101989	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	0.145834	694444.180712	1.022656	1.011515
# PROBE COMPLETE agreement; same algorithm, not upstream oracle
