# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=thread; pages=100% huge required; split=inner-only; validated20M/5M=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; original probe-measure-host1 inputs
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=53.574780 setup_s=54.422369 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE synthetic/optimistic proof-of-capability only: SA_SEARCH_FULL, not captured STAR scheduler requests; not a correctness gate or SEED-CUDA
# PROBE compared_bytes and logical_gpu_GBs count scalar-equivalent logical work; warp speculative sequence reads after the first mismatch are actual extra loads excluded from these metrics
# PROBE mean/max_warp_byte_imbalance are software group-of-32 request-cost proxies, not hardware activity counters or actual intra-warp imbalance for warp-per-request
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xe5bf1de00000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788732580, tv_nsec: 629563450 }, fallback: false }
# PROBE CPU pointer sa=0xe5bfe0a00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788732579, tv_nsec: 168685532 }, fallback: true }
# PROBE CPU pointer reads=0xe5bea8200000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732631, tv_nsec: 377068127 }, fallback: false }
# PROBE CPU pointer requests=0xe5beace00000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732631, tv_nsec: 292393213 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
# PROBE warmup requests=64000 rounds=885 event_ms=1000.4983 elapsed_s=1.465588; checks included, every GPU output consumed
PROBE-isolated	64000	1	20	0.013540497	0.001259509	1.140160	0.001165220	0.000000000	4726562.105	50813451.909	10.750616	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	21.323590	0.000000	0.000000	0.000000
PROBE-isolated	64000	2	20	0.012588317	0.001234725	1.127648	0.001152804	0.000000000	5084079.151	51833404.199	10.195239	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	21.751607	0.000000	0.000000	0.000000
PROBE-isolated	64000	3	20	0.012290364	0.001237413	1.124928	0.001149588	0.000000000	5207331.532	51720807.847	9.932306	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	21.704357	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=32000 CPU_first_half_s=0.009804084 GPU_second_half_device_s=0.000619714 GPU_second_half_total_s=0.000699779 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	1	20	0.007077514	0.000595378	0.588576	0.000595378	0.007277466	4521361.597	53747367.219	11.887429	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	22.567571	8794269.873607	0.721894	0.960730
# PROBE overlap controls repeat=2 half=32000 CPU_first_half_s=0.006407735 GPU_second_half_device_s=0.000630242 GPU_second_half_total_s=0.000708115 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	2	20	0.006613656	0.000599490	0.588064	0.000599490	0.006769368	4838473.607	53378705.233	11.032137	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	22.412776	9454353.789010	1.032136	0.951206
# PROBE overlap controls repeat=3 half=32000 CPU_first_half_s=0.005886678 GPU_second_half_device_s=0.000635026 GPU_second_half_total_s=0.000715042 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	3	20	0.006818937	0.000599587	0.589088	0.000599587	0.006926489	4692813.557	53370069.731	11.372723	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	22.409150	9239890.513072	1.158368	0.944193
# PROBE warmup requests=256000 rounds=225 event_ms=1003.9104 elapsed_s=1.452528; checks included, every GPU output consumed
PROBE-isolated	256000	1	20	0.046532520	0.004860386	4.737344	0.004773954	0.000000000	5501528.823	52670713.808	9.573832	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	22.100478	0.000000	0.000000	0.000000
PROBE-isolated	256000	2	20	0.047013705	0.004597169	4.484000	0.004511840	0.000000000	5445220.707	55686445.288	10.226664	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	23.365870	0.000000	0.000000	0.000000
PROBE-isolated	256000	3	20	0.046457271	0.004575008	4.461920	0.004490288	0.000000000	5510439.905	55956186.306	10.154577	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	23.479052	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=128000 CPU_first_half_s=0.023587077 GPU_second_half_device_s=0.002461369 GPU_second_half_total_s=0.002544345 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	1	20	0.032371893	0.002322536	2.315328	0.002322536	0.032700998	3954047.420	55112170.489	13.938166	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	23.110458	7828507.252286	1.372442	0.943595
# PROBE overlap controls repeat=2 half=128000 CPU_first_half_s=0.023624453 GPU_second_half_device_s=0.002289960 GPU_second_half_total_s=0.002373800 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
