# PROBE ONLY; same-algorithm agreement != upstream oracle; SA_SEARCH_FULL synthetic grid, remaining read length; variant=warp; pages=100% huge required; split=inner-only; validated20M/5M=/home/rborkows/uni-rnaseq-probe-lab/probe-measure-host1/probe-boundary.json; original probe-measure-host1 inputs
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=54.207637 setup_s=55.104844 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE synthetic/optimistic proof-of-capability only: SA_SEARCH_FULL, not captured STAR scheduler requests; not a correctness gate or SEED-CUDA
# PROBE compared_bytes and logical_gpu_GBs count scalar-equivalent logical work; warp speculative sequence reads after the first mismatch are actual extra loads excluded from these metrics
# PROBE mean/max_warp_byte_imbalance are software group-of-32 request-cost proxies, not hardware activity counters or actual intra-warp imbalance for warp-per-request
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xf43cf6200000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788732510, tv_nsec: 803258869 }, fallback: false }
# PROBE CPU pointer sa=0xf43db8e00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788732509, tv_nsec: 235717619 }, fallback: true }
# PROBE CPU pointer reads=0xf43c80600000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732561, tv_nsec: 785865040 }, fallback: false }
# PROBE CPU pointer requests=0xf43c85200000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788732561, tv_nsec: 701871232 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
# PROBE warmup requests=64000 rounds=499 event_ms=1000.9636 elapsed_s=1.238565; checks included, every GPU output consumed
PROBE-isolated	64000	1	20	0.013178928	0.002155335	2.021952	0.002054135	0.000000000	4856237.169	29693759.903	6.114561	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	12.460825	0.000000	0.000000	0.000000
PROBE-isolated	64000	2	20	0.012441069	0.002092472	2.004160	0.002028824	0.000000000	5144252.475	30585833.407	5.945632	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	12.835179	0.000000	0.000000	0.000000
PROBE-isolated	64000	3	20	0.012618350	0.002407865	2.310560	0.002334009	0.000000000	5071978.507	26579563.223	5.240472	66204de98c47a2bc	2383829	7786621	2255829	2383829	121.666	438	35.247	55	3.266	68	2.058719	3.712175	11.153970	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=32000 CPU_first_half_s=0.006704376 GPU_second_half_device_s=0.001060180 GPU_second_half_total_s=0.001132148 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	1	20	0.007140394	0.001017571	1.011488	0.001017571	0.007408394	4481545.416	31447437.083	7.017097	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	13.204224	8638849.391650	1.065035	0.959810
# PROBE overlap controls repeat=2 half=32000 CPU_first_half_s=0.006629192 GPU_second_half_device_s=0.001052164 GPU_second_half_total_s=0.001119268 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	2	20	0.006787160	0.001052628	1.045888	0.001052628	0.006931113	4714784.976	30400103.360	6.447824	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	12.764467	9233726.242813	1.023829	1.000441
# PROBE overlap controls repeat=3 half=32000 CPU_first_half_s=0.006625384 GPU_second_half_device_s=0.001127188 GPU_second_half_total_s=0.001194548 cpu_checksum=53ec64e5feebd59d gpu_checksum=4334022c77178ce4
PROBE-overlap	32000	3	20	0.007557628	0.001256917	1.244960	0.001256917	0.007670972	4234132.720	25459119.417	6.012830	4334022c77178ce4	1191678	3902811	1127678	1191678	121.963	438	35.240	55	3.275	68	2.055451	3.389630	10.689835	8343140.869241	1.140708	1.115091
# PROBE warmup requests=256000 rounds=125 event_ms=1005.15356 elapsed_s=1.250801; checks included, every GPU output consumed
PROBE-isolated	256000	1	20	0.047495484	0.008813616	8.708960	0.008734479	0.000000000	5389986.130	29045967.058	5.388876	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	12.187603	0.000000	0.000000	0.000000
PROBE-isolated	256000	2	20	0.047207738	0.008720143	8.614432	0.008642559	0.000000000	5422839.790	29357316.732	5.413643	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	12.318244	0.000000	0.000000	0.000000
PROBE-isolated	256000	3	20	0.047527372	0.008313166	8.210240	0.008238766	0.000000000	5386369.774	30794525.215	5.717121	87ab158b62df2c55	9537239	31118941	9025239	9537239	121.558	542	35.255	58	3.263	68	2.063070	3.817730	12.921293	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=128000 CPU_first_half_s=0.024279000 GPU_second_half_device_s=0.004000655 GPU_second_half_total_s=0.004075775 cpu_checksum=e196115ea4abfa7f gpu_checksum=e8e3a6780147353b
PROBE-overlap	128000	1	20	0.025817805	0.004166127	4.157120	0.004166127	0.026009390	4957818.839	30723979.370	6.197076	e8e3a6780147353b	4767928	15531446	4511928	4767928	121.339	447	35.249	56	3.257	68	2.059764	3.817730	12.883637	9842599.153613	1.063380	1.041361
