# PROBE ONLY; same-algorithm agreement != upstream oracle; workload=SA_SEARCH_FULL synthetic grid, remaining read length; variant=thread; pages=100% huge required; split=accepted SPLIT; original real capture reused without filtering
# PROBE index_hashes=Genome:44c54824a99ddcde29eee65ed77e1896adc2a75ecc4979a2096f3beb6040b0f6,SA:dc08616e0b01a8c1f9713e71a4eaf8d2354e559a4e1146aa294b3fbc507663d5,SAindex:975941953bc1348047b81799ca639ccb5e880faf0a04a3c640d065bdad1c620e,genomeParameters.txt:20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246,chrStart.txt:f61aef4f45ee4f41768bfce5c9879305326b86b342faef778d7670442ed4e853,chrLength.txt:d658af0c38effb24ff025667596d331fbd92cf2706bd8824840b54f727a6ea6c,chrName.txt:2a6ad41315a63770960b8d52773ce6067bbde58388bed67462354a18dc736333,chrNameLength.txt:2d8b1126abff7210cdcbeb1076d962d4e28113bea82b9a5ab6181e80b25de74b,sjdbInfo.txt:47b5b072d8d91160a493d341d2f074f144d0fb3deed5589dbd453118e2602588 request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428 index_load_validation_s=54.859812 setup_s=55.921114 workers=20 bytes_copied_constant=0 (not a dynamic detector); index_SAindex_resident_bytes=1565873619
# PROBE source_kind=SYNTHETIC_SA_SEARCH_FULL; synthetic/optimistic proof-of-capability only; not a correctness gate or SEED-CUDA
# PROBE compared_bytes and logical_gpu_GBs count scalar-equivalent logical work; warp speculative sequence reads after the first mismatch are actual extra loads excluded from these metrics
# PROBE mean/max_warp_byte_imbalance are software group-of-32 request-cost proxies, not hardware activity counters or actual intra-warp imbalance for warp-per-request
# PROBE request provenance: PROBE synthetic SA_SEARCH_FULL (not captured STAR scheduler requests)
# PROBE request provenance: count=4000000
# PROBE request provenance: seed=188140
# PROBE request provenance: visited_reads=4005246
# PROBE request provenance: sampled_reads=500000
# PROBE request provenance: skipped_non_acgt=1040
# PROBE request provenance: source_fastq=/home/rborkows/uni-rnaseq/data/samples/ERR188140_20M/ERR188140_20M_1.fastq.gz
# PROBE request provenance: source_sha256=47ce5be22f6c0d3a6510a821235ad2126dce533d3004f5d01a9f9d69638fd584
# PROBE request provenance: index_parameters_sha256=20d334fccd47efc59fbe3667d0cd69f5171e0e2fc7b16a2a57ca11370643d246
# PROBE request provenance: request_sha256=c72a0eea30d9caef930481be96f901261dfed54ea2600a65fcf3087b530ac428
# PROBE request provenance: seedSearchLmax=0 unlimited (pinned parametersDefault:575); N=remaining read length; grid=20; s1=position-wise complement
# PROBE CPU pointer genome=0xf5a896200000 bytes=3263384238 page_report=PageReport { len: 3263384238, huge_bytes: 3263384238, kind: Thp, observed_at: SystemTime { tv_sec: 1788746673, tv_nsec: 666892974 }, fallback: false }
# PROBE CPU pointer sa=0xf5a958e00000 bytes=25352264482 page_report=PageReport { len: 25352264482, huge_bytes: 25352264482, kind: Hugetlb, observed_at: SystemTime { tv_sec: 1788746672, tv_nsec: 38338379 }, fallback: true }
# PROBE CPU pointer reads=0xf5a820600000 bytes=75000000 page_report=PageReport { len: 75000000, huge_bytes: 75000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788746724, tv_nsec: 339600419 }, fallback: false }
# PROBE CPU pointer requests=0xf5a825200000 bytes=320000000 page_report=PageReport { len: 320000000, huge_bytes: 320000000, kind: Thp, observed_at: SystemTime { tv_sec: 1788746724, tv_nsec: 251803911 }, fallback: false }
mode	requests_per_arm	repeat	cpu_workers	cpu_s	gpu_wall_s	gpu_event_ms	device_call_wall_s	combined_s	cpu_rps	gpu_rps	GPU_RPS_over_CPU20_RPS	cpu_gpu_output_checksum	sa_gathers	compared_bytes	loop_trips	comparisons	mean_request_bytes	max_request_bytes	mean_loops	max_loops	mean_compare_bytes	max_compare_bytes	mean_warp_byte_imbalance	max_warp_byte_imbalance	logical_gpu_GBs	combined_rps	cpu_slowdown	gpu_slowdown
# PROBE distribution requests=1000000 N(length): mean=45.000,median=35,p90=75,p99=75,max=75,log2_histogram=[2^3,2^4):250000,[2^5,2^6):500000,[2^6,2^7):250000; L_in(prefix): mean=0.000,median=0,p90=0,p99=0,max=0,log2_histogram=0:1000000; interval_width: mean=6146003510.000,median=6146003510,p90=6146003510,p99=6146003510,max=6146003510,log2_histogram=[2^32,2^33):1000000; logical_loop_trips: mean=35.251,median=35,p90=38,p99=43,max=58,log2_histogram=[2^5,2^6):1000000; logical_dependent_gathers: mean=37.251,median=37,p90=40,p99=45,max=60,log2_histogram=[2^5,2^6):1000000
# PROBE warmup requests=1000000 rounds=57 event_ms=1015.552 elapsed_s=1.538508; checks included, every GPU output consumed
PROBE-isolated	1000000	1	20	0.182673378	0.017611503	17.498079	0.017525823	0.000000000	5474251.426	56781070.872	10.372390	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.813372	0.000000	0.000000	0.000000
PROBE-isolated	1000000	2	20	0.181618718	0.017602511	17.483553	0.017512367	0.000000000	5506040.407	56810076.699	10.317773	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.825537	0.000000	0.000000	0.000000
PROBE-isolated	1000000	3	20	0.184538584	0.017585312	17.472897	0.017501359	0.000000000	5418920.956	56865638.779	10.493904	ce24af39f2c2fb14	37251259	121379208	35251259	37251259	121.379	554	35.251	58	3.258	70	2.064059	3.879047	23.848839	0.000000	0.000000	0.000000
# PROBE overlap controls repeat=1 half=500000 CPU_first_half_s=0.091287240 GPU_second_half_device_s=0.008808591 GPU_second_half_total_s=0.008889535 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	1	20	0.096095145	0.009288594	9.275008	0.009288594	0.096261131	5203176.498	53829460.088	10.345500	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.565694	10388409.003838	1.052668	1.054493
# PROBE overlap controls repeat=2 half=500000 CPU_first_half_s=0.091870155 GPU_second_half_device_s=0.008774544 GPU_second_half_total_s=0.008864032 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	2	20	0.096763548	0.009269761	9.256384	0.009269761	0.096968813	5167235.083	53938823.234	10.438624	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.611540	10312594.008962	1.053264	1.056438
# PROBE overlap controls repeat=3 half=500000 CPU_first_half_s=0.091243577 GPU_second_half_device_s=0.008802096 GPU_second_half_total_s=0.008896432 cpu_checksum=0b5f8e5bead5217b gpu_checksum=2a05824296d0a726
PROBE-overlap	500000	3	20	0.101261660	0.009281233	9.267968	0.009281233	0.101434477	4937702.977	53872152.547	10.910367	2a05824296d0a726	18623899	60612381	17623899	18623899	121.225	554	35.248	58	3.255	69	2.061652	3.879047	22.583591	9858580.924117	1.109795	1.054434
# PROBE COMPLETE agreement; same algorithm, not upstream oracle
