task_id	name	status	exit	duration	realtime	%cpu	peak_rss	cpus
1	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (gencode.v49.primary_assembly.annotation.filtered)	CACHED	0	15s	14.1s	98.2%	12 MB	1
2	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (GRCh38.primary_assembly.genome.fa)	CACHED	0	6.7s	5.8s	97.3%	5.4 MB	1
3	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12716_20M)	CACHED	0	43.1s	42.4s	100.4%	76.2 MB	2
4	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCh38.primary_assembly.genome.fa)	CACHED	0	59.4s	37.1s	100.0%	3.3 GB	12
7	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12716_20M)	CACHED	0	59s	58.6s	192.7%	3.7 GB	2
6	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12716_20M)	CACHED	0	1m 21s	1m 20s	205.1%	85.4 MB	8
5	NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED (gencode.v49.primary_assembly.annotation.filtered)	CACHED	0	29.8s	29.4s	100.5%	7.8 GB	2
8	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12716_20M)	CACHED	0	40s	39.6s	100.5%	76.3 MB	2
9	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12716_20M)	CACHED	0	51.9s	51.4s	100.3%	9.5 MB	1
10	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	25m 23s	25m 22s	526.5%	19.3 GB	6
11	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12716_20M)	COMPLETED	0	21.4s	21s	275.1%	18.6 GB	16
12	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (NA12716_20M)	COMPLETED	0	5m 49s	5m 48s	512.5%	38.2 GB	16
14	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (NA12716_20M)	COMPLETED	0	3m 56s	3m 55s	962.1%	18.8 GB	16
13	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (NA12716_20M)	COMPLETED	0	35.4s	35s	522.7%	5.3 GB	6
15	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:CUSTOM_TX2GENE (null)	COMPLETED	0	1m 33s	1m 32s	100.4%	130.3 MB	1
16	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (NA12716_20M)	COMPLETED	0	4.7s	4.3s	282.4%	27.7 MB	2
19	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12716_20M)	COMPLETED	0	26.1s	25.6s	145.2%	8.1 MB	1
17	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12716_20M)	COMPLETED	0	9.1s	8.7s	138.8%	6.9 MB	1
18	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12716_20M)	COMPLETED	0	485ms	24ms	98.4%	3.2 MB	1
20	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (NA12716_20M)	COMPLETED	0	4m 50s	4m 49s	121.5%	20.8 GB	6
21	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:TXIMETA_TXIMPORT (all_samples)	COMPLETED	0	19s	18.5s	105.0%	895.9 MB	6
22	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_BAM_SALMON	COMPLETED	0	7s	6.5s	130.9%	618 MB	6
24	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_GENE_UNIFIED (all_samples)	COMPLETED	0	15.9s	15.4s	103.5%	802 MB	6
23	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_TRANSCRIPT_UNIFIED (all_samples)	COMPLETED	0	1m 3s	1m 3s	101.9%	1.1 GB	6
25	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (NA12716_20M)	COMPLETED	0	1m 29s	1m 28s	176.9%	1.3 GB	6
26	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (NA12716_20M)	COMPLETED	0	5.4s	4.5s	276.3%	26.2 MB	2
27	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_COMBINED (NA12716_20M)	COMPLETED	0	1m 19s	1m 18s	108.0%	2.8 GB	1
29	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12716_20M)	COMPLETED	0	10.3s	9.8s	142.2%	6.7 MB	1
32	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (NA12716_20M)	COMPLETED	0	55.9s	55.4s	506.7%	5.3 GB	6
28	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12716_20M)	COMPLETED	0	525ms	25ms	151.5%	3.2 MB	1
30	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12716_20M)	COMPLETED	0	27.8s	27.3s	157.0%	8.1 MB	1
31	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (NA12716_20M)	COMPLETED	0	3m 15s	3m 15s	107.1%	709.9 MB	1
38	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (NA12716_20M)	COMPLETED	0	37.9s	37.4s	108.1%	1.4 GB	6
35	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (NA12716_20M)	COMPLETED	0	1m 8s	1m 7s	104.6%	144 MB	6
34	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (NA12716_20M)	COMPLETED	0	1m 26s	1m 25s	103.7%	708.6 MB	6
33	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (NA12716_20M)	COMPLETED	0	1m 50s	1m 49s	102.1%	1.7 GB	6
37	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (NA12716_20M)	COMPLETED	0	2.2s	1.8s	222.6%	100.2 MB	6
39	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (NA12716_20M)	COMPLETED	0	1m 21s	1m 21s	102.9%	45.2 MB	6
36	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (NA12716_20M)	COMPLETED	0	2m 5s	2m 5s	102.8%	4.1 GB	6
40	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (NA12716_20M)	COMPLETED	0	1m 13s	1m 12s	131.1%	478.3 MB	6
41	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (NA12716_20M)	COMPLETED	0	9m 9s	9m 8s	108.9%	14.2 GB	6
42	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (NA12716_20M)	COMPLETED	0	2.9s	2.4s	100.0%	8.8 MB	6
43	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (NA12716_20M)	COMPLETED	0	747ms	295ms	89.7%	3.3 MB	1
44	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (NA12716_20M)	COMPLETED	0	13.7s	13.3s	100.1%	10.9 MB	1
45	NFCORE_RNASEQ:RNASEQ:MULTIQC_RNASEQ:MULTIQC (multiqc_report)	COMPLETED	0	14.2s	13.7s	133.8%	1.1 GB	1
