task_id	name	status	exit	duration	realtime	%cpu	peak_rss	cpus
3	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12716_full)	COMPLETED	0	2m 43s	2m 42s	100.1%	219.4 MB	2
1	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	7.2s	5.9s	95.7%	5.6 MB	1
2	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (gencode.v49.primary_assembly.annotation.filtered)	COMPLETED	0	18.3s	16.9s	81.7%	12.1 MB	1
4	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCh38.primary_assembly.genome.fa)	COMPLETED	0	36.8s	35.7s	100.1%	3.3 GB	12
5	NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED (gencode.v49.primary_assembly.annotation.filtered)	COMPLETED	0	27s	26.5s	100.1%	7.9 GB	2
7	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12716_full)	COMPLETED	0	5m 6s	5m 6s	203.1%	91.1 MB	8
6	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA12716_full)	COMPLETED	0	3m 22s	3m 21s	199.6%	3.7 GB	2
8	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12716_full)	COMPLETED	0	2m 42s	2m 42s	100.1%	219.4 MB	2
9	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12716_full)	COMPLETED	0	2m 8s	2m 7s	99.9%	16.5 MB	1
10	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12716_full)	COMPLETED	0	23.7s	23.4s	252.4%	18.6 GB	16
11	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (NA12716_full)	COMPLETED	0	15m 41s	15m 41s	745.9%	38.6 GB	16
12	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (NA12716_full)	COMPLETED	0	2m 22s	2m 22s	498.9%	5.3 GB	6
13	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (NA12716_full)	COMPLETED	0	8m 49s	8m 48s	864.9%	16.3 GB	16
14	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (NA12716_full)	COMPLETED	0	20.7s	20.4s	268.2%	52.9 MB	2
17	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12716_full)	COMPLETED	0	36.5s	36.1s	138.9%	6.8 MB	1
16	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12716_full)	COMPLETED	0	1m 37s	1m 37s	152.8%	8.6 MB	1
15	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12716_full)	COMPLETED	0	557ms	35ms	88.9%	3.2 MB	1
18	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (NA12716_full)	COMPLETED	0	18m 7s	18m 6s	118.2%	26.7 GB	6
19	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:CUSTOM_TX2GENE (null)	COMPLETED	0	1m 31s	1m 30s	100.1%	119.7 MB	1
20	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:TXIMETA_TXIMPORT (all_samples)	COMPLETED	0	18.7s	18.2s	105.4%	945.3 MB	6
21	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_BAM_SALMON	COMPLETED	0	6.6s	6.1s	150.4%	624.2 MB	6
23	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_GENE_UNIFIED (all_samples)	COMPLETED	0	15.9s	15.5s	104.6%	802.7 MB	6
