task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d5/60d81d	1886900	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-09-05 10:21:54.492	6.4s	5.7s	99.0%	5.5 MB	11.2 MB	2.9 GB	11.9 KB
2	b0/903934	1886742	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (gencode.v49.primary_assembly.annotation.filtered)	COMPLETED	0	2026-09-05 10:21:54.457	14.9s	14.2s	97.2%	12.1 MB	15.1 MB	6 GB	3.1 GB
10	3a/419ce4	1892127	NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED (gencode.v49.primary_assembly.annotation.filtered)	COMPLETED	0	2026-09-05 10:22:10.414	28.7s	28.3s	100.2%	7.8 GB	7.8 GB	3.1 GB	65.6 MB
8	67/2f8a0b	1886873	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA11832_F)	COMPLETED	0	2026-09-05 10:21:54.489	1m 11s	1m 10s	100.2%	218.4 MB	221.8 MB	7 GB	1.7 KB
7	ab/d522ca	1886843	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12751_F)	COMPLETED	0	2026-09-05 10:21:54.483	1m 16s	1m 15s	100.2%	218.4 MB	221.8 MB	7.3 GB	1.7 KB
6	f5/98310b	1886722	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12815_F)	COMPLETED	0	2026-09-05 10:21:54.442	1m 17s	1m 17s	100.2%	218.5 MB	221.9 MB	7.8 GB	1.7 KB
5	37/cb07c1	1886784	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12814_M)	COMPLETED	0	2026-09-05 10:21:54.470	1m 31s	1m 30s	100.3%	218.6 MB	222 MB	8.9 GB	1.7 KB
4	24/3ff4db	1886765	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12775_M)	COMPLETED	0	2026-09-05 10:21:54.464	1m 41s	1m 40s	100.3%	218.7 MB	222 MB	9.7 GB	1.7 KB
3	85/9985f2	1886811	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (NA12399_M)	COMPLETED	0	2026-09-05 10:21:54.476	2m 35s	2m 34s	100.4%	219.3 MB	222.7 MB	14.9 GB	1.7 KB
12	7b/6c8df3	1896125	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (NA11832_F)	COMPLETED	0	2026-09-05 10:23:06.591	1m 49s	1m 49s	195.5%	3.8 GB	15.5 GB	4.7 GB	3.9 MB
